Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N	channel_134C	channel_135N
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	Trypsin	1:Experimental evidence at protein level	46.75	1.0000	0.9990	8	7	8	54	52	54	2995701984	2995701984	2995701984	10K(304.2072), 12C(57.0215), 14K(304.2072), 17M(15.9949), 18K(304.2072), 20K(304.2072), 2C(57.0215), 2K(304.2072), 8K(304.2072), 9C(57.0215), N-term(304.2072)			9501118.3345	10426539.6416	9669220.5000	10355941.9639	9117921.8108	8445080.5986	8542097.9985	7590620.5342	7714352.9590	6949196.1945	5522572.9746	5644388.0271	9307015.5552	9221526.0320	9602437.8762	10811561.2666	10588631.9363	11530700.4279
contam_sp|P02533|K1C14_HUMAN	P02533	K1C14_HUMAN	KRT14	472	Homo sapiens	Keratin, type I cytoskeletal 14	1:Experimental evidence at protein level	37.08	1.0000	0.9990	18	0	16	21	0	18	25162604	     0	25162604	10C(57.0215), 11K(304.2072), 12K(304.2072), 13K(304.2072), 2K(304.2072), 3C(57.0215), 7K(304.2072), 8M(15.9949), 9K(304.2072), N-term(304.2072)		sp|P02533|K1C14_HUMAN	367866.4971	598128.4629	164285.0564	83821.2439	291258.3438	249882.2742	41041.0872	45783.1912	220669.4436	166477.0747	119973.2390	3426359.4961	176801.8872	144924.4053	108103.1071	126336.7529	147128.2510	487452.7896
contam_sp|P02768|ALBU_HUMAN	P02768	ALBU_HUMAN	ALB	609	Homo sapiens	Serum albumin	1:Experimental evidence at protein level	59.93	1.0000	0.9990	43	0	43	56	0	56	117781644	     0	117781644	10C(57.0215), 10K(304.2072), 11C(57.0215), 12K(304.2072), 13C(57.0215), 13K(304.2072), 14K(304.2072), 15C(57.0215), 16K(304.2072), 19K(304.2072), 1C(57.0215), 1K(304.2072), 2C(57.0215), 2K(304.2072), 3C(57.0215), 3K(304.2072), 3M(15.9949), 4C(57.0215), 4K(304.2072), 5C(57.0215), 5K(304.2072), 6C(57.0215), 6M(15.9949), 7C(57.0215), 7K(304.2072), 8C(57.0215), 8K(304.2072), 9C(57.0215), 9K(304.2072), N-term(304.2072)		sp|P02768|ALBU_HUMAN	20207287.9219	5936028.9404	2891469.4424	534706.1678	393634.0906	209103.2930	75883.9825	59888.3607	157134.0651	208288.6328	199670.8936	431702.7642	498566.8950	150830.0730	158922.7850	322674.4523	557383.4518	521905.3174
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	Serum albumin	1:Experimental evidence at protein level	20.92	1.0000	0.9990	13	7	8	13	7	8	95694454	7498108	95694454	10C(57.0215), 12K(304.2072), 16K(304.2072), 17K(304.2072), 1C(57.0215), 2C(57.0215), 2K(304.2072), 3C(57.0215), 4C(57.0215), 4K(304.2072), 5C(57.0215), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			1092828.5059	1189260.8066	322459.5635	139384.4531	107865.0596	100818.7812	49707.9884	43515.5483	45668.1943	59895.8790	57386.8046	89566.3491	199659.6694	108743.4031	62805.3853	51576.1553	79077.7273	134487.0901
contam_sp|P04259|K2C6B_HUMAN	P04259	K2C6B_HUMAN	KRT6B	564	Homo sapiens	Keratin, type II cytoskeletal 6B	1:Experimental evidence at protein level	33.69	1.0000	0.9990	19	0	12	20	0	13	33069032	     0	33069032	10K(304.2072), 11K(304.2072), 15K(304.2072), 17K(304.2072), 7M(15.9949), 8C(57.0215), 9C(57.0215), 9K(304.2072), N-term(304.2072)		sp|P04259|K2C6B_HUMAN	242954.2051	479484.1123	152342.1462	66797.2985	191558.0679	91459.3761	33289.4918	24065.1655	158821.8267	109259.6228	79416.4805	1692458.1602	151274.5051	87251.2122	59724.4471	96156.9136	110995.1992	271719.7827
contam_sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	Homo sapiens	Keratin, type II cytoskeletal 1	1:Experimental evidence at protein level	50.93	1.0000	0.9990	33	0	33	43	0	43	75446824	     0	75446824	10K(304.2072), 11K(304.2072), 11M(15.9949), 12K(304.2072), 2K(304.2072), 4C(57.0215), 5K(304.2072), 5M(15.9949), 6K(304.2072), 6M(15.9949), 7K(304.2072), 7M(15.9949), 8K(304.2072), 8M(15.9949), 9K(304.2072), N-term(304.2072)		sp|P04264|K2C1_HUMAN	2011876.8787	1857779.2234	580238.3713	197512.5128	1026348.7646	2452647.3279	263430.3125	262347.2111	703917.7838	673946.2872	731934.3464	9938341.8496	672431.0271	872072.0333	965675.5601	320634.3873	751304.7241	1854154.6348
contam_sp|P07477|TRY1_HUMAN	P07477	TRY1_HUMAN	PRSS1	247	Homo sapiens	Trypsin-1	1:Experimental evidence at protein level	15.38	1.0000	0.9990	3	0	2	8	0	6	17244565	     0	17244565	10K(304.2072), 20K(304.2072), 7M(15.9949), N-term(304.2072)		sp|P07477|TRY1_HUMAN	27936.3608	62035.7314	35855.3989	20042.3542	22456.9285	29856.1741	34917.7417	68204.2854	34677.9502	97965.6312	14589.9429	42044.7056	32067.8618	14146.2322	15865.8159	18384.6553	18154.7412	27677.3032
contam_sp|P08779|K1C16_HUMAN	P08779	K1C16_HUMAN	KRT16	473	Homo sapiens	Keratin, type I cytoskeletal 16	1:Experimental evidence at protein level	37.21	1.0000	0.9990	17	0	5	20	0	6	24478111	     0	24478111	6K(304.2072), 9K(304.2072), N-term(304.2072)		sp|P08779|K1C16_HUMAN	228626.8081	471709.5093	121710.3293	61366.2130	137821.4707	38021.6709	15852.7051	16013.9028	47321.4692	83188.1624	201123.5459	940445.7734	141594.9409	46327.7926	35942.9148	45895.0195	133075.2311	149108.1738
contam_sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	Homo sapiens	Keratin, type I cytoskeletal 10	1:Experimental evidence at protein level	39.73	1.0000	0.9990	23	0	23	25	0	25	32664400	     0	32664400	12K(304.2072), 13K(304.2072), 17K(304.2072), 2K(304.2072), 3M(15.9949), 5C(57.0215), 6M(15.9949), 7C(57.0215), 7K(304.2072), 9K(304.2072), N-term(304.2072)		sp|P13645|K1C10_HUMAN	1979468.0918	971886.8083	461039.9761	139188.8750	374879.7986	1253967.6440	153297.1479	149928.2924	388160.7930	317016.1599	286468.1802	2602830.8379	466119.5657	329105.5312	314769.3059	196897.8542	728138.9539	992245.1553
contam_sp|P13647|K2C5_HUMAN	P13647	K2C5_HUMAN	KRT5	590	Homo sapiens	Keratin, type II cytoskeletal 5	1:Experimental evidence at protein level	22.37	1.0000	0.9990	14	0	7	14	0	7	27554786	     0	27554786	11K(304.2072), 12K(304.2072), 7C(57.0215), 9K(304.2072), 9M(15.9949), N-term(304.2072)		sp|P13647|K2C5_HUMAN	163808.6978	215090.7578	75578.2500	25448.5908	74660.4482	126359.1328	17997.8218	31922.9053	63056.1548	71594.2935	45884.2351	859865.6406	73618.0854	49194.4922	59138.0132	33465.7327	66763.7976	142353.2764
